Band,Species,Sex,Firstadultyear,LastYear,Weightg,Wingmm,Tarsusmm,BeakLengthmm,BeakDepthmm,BeakWidthmm
9,Geospizafortis,unknown,1975,1977,14.50,67.00,18.00,9.20,8.30,8.10
12,Geospizafortis,female,1975,1977,13.50,66.00,18.30,9.50,7.50,7.50
276,Geospizafortis,unknown,1976,1977,16.44,64.19,18.47,9.93,8.00,7.60
278,Geospizafortis,unknown,1976,1977,18.54,67.19,19.27,11.13,10.60,9.40
283,Geospizafortis,male,1976,1977,17.44,70.19,19.27,12.13,11.20,9.50
288,Geospizafortis,unknown,1976,1977,16.34,71.19,20.27,10.63,9.10,8.80
293,Geospizafortis,unknown,1976,1977,15.74,67.19,17.57,9.93,9.50,8.90
294,Geospizafortis,unknown,1976,1977,16.84,68.19,18.17,11.33,10.50,9.10
298,Geospizafortis,male,1976,1977,15.54,68.19,18.57,9.93,8.40,8.20
307,Geospizafortis,male,1975,1977,17.50,70.00,20.00,11.10,8.60,8.40
311,Geospizafortis,unknown,1975,1977,15.00,67.00,18.40,10.80,9.20,8.50
315,Geospizafortis,unknown,1975,1977,17.00,70.00,19.90,9.70,8.80,8.70
321,Geospizafortis,unknown,1975,1977,15.00,66.00,19.10,10.60,8.50,8.10
342,Geospizafortis,female,1975,1977,15.00,66.00,18.40,9.60,8.00,8.70
343,Geospizafortis,unknown,1975,1977,15.00,67.00,18.00,10.50,9.70,8.50
345,Geospizafortis,male,1975,1977,16.50,67.00,20.10,9.90,8.40,8.80
346,Geospizafortis,unknown,1975,1977,13.00,64.00,17.60,9.60,7.90,7.40
347,Geospizafortis,male,1975,1977,16.00,71.00,19.60,10.70,9.30,8.40
352,Geospizafortis,male,1975,1977,13.50,65.00,18.40,9.30,7.70,7.80
356,Geospizafortis,female,1973,1977,16.00,69.00,18.50,10.10,8.50,8.10
413,Geospizafortis,female,1975,1977,14.00,65.00,17.90,9.70,8.20,7.90
420,Geospizafortis,female,1975,1977,15.00,65.00,19.80,11.00,9.70,9.10
422,Geospizafortis,male,1973,1977,19.00,70.00,19.40,11.00,10.30,9.10
428,Geospizafortis,female,1975,1977,17.00,72.00,20.10,11.60,10.20,9.00
452,Geospizafortis,unknown,1975,1977,15.00,68.00,20.00,10.50,8.90,8.50
456,Geospizafortis,male,1973,1977,16.50,68.90,18.50,10.20,9.60,8.70
457,Geospizafortis,unknown,1975,1977,14.75,64.20,17.05,9.70,7.85,7.55
458,Geospizafortis,male,1973,1977,16.00,73.00,19.60,11.10,9.60,8.90
461,Geospizafortis,female,1975,1977,17.00,68.00,20.00,11.10,9.80,8.60
462,Geospizafortis,male,1973,1977,15.00,68.00,19.60,10.20,8.80,8.20
468,Geospizafortis,male,1975,1977,16.00,68.00,19.00,10.80,9.00,8.20
503,Geospizafortis,unknown,1975,1977,14.50,65.00,18.90,10.00,9.10,8.60
506,Geospizafortis,female,1975,1977,17.00,69.00,18.60,11.10,9.20,8.90
507,Geospizafortis,male,1973,1977,16.00,70.00,19.00,10.30,8.80,8.10
509,Geospizafortis,male,1973,1977,17.00,70.00,20.00,11.10,9.20,9.00
511,Geospizafortis,male,1975,1977,14.50,66.00,19.10,10.50,8.80,8.50
512,Geospizafortis,unknown,1975,1977,15.50,67.00,20.30,11.00,9.40,8.70
519,Geospizafortis,male,1973,1977,14.50,67.00,19.10,10.00,8.30,7.90
522,Geospizafortis,female,1975,1977,15.50,66.00,18.20,10.30,8.40,8.00
561,Geospizafortis,unknown,1975,1977,16.50,70.00,20.00,11.70,10.20,8.90
564,Geospizafortis,unknown,1975,1977,14.00,66.00,18.80,10.20,9.30,8.20
605,Geospizafortis,unknown,1975,1977,15.50,71.00,19.90,10.90,10.20,8.90
609,Geospizafortis,male,1975,1977,16.50,69.00,19.60,11.90,10.50,9.00
610,Geospizafortis,male,1975,1977,14.00,66.00,18.80,10.20,9.00,8.30
611,Geospizafortis,female,1975,1977,16.00,66.00,18.90,10.50,9.80,9.10
619,Geospizafortis,unknown,1975,1977,14.00,65.00,18.00,10.50,9.30,8.50
621,Geospizafortis,male,1973,1977,15.50,67.00,18.50,9.80,7.60,7.80
674,Geospizafortis,male,1973,1977,18.50,70.00,20.50,11.80,10.50,9.30
676,Geospizafortis,male,1975,1977,17.00,72.00,20.00,11.00,9.70,8.90
687,Geospizafortis,unknown,1975,1977,14.00,66.00,18.90,10.30,8.60,7.80
309,Geospizafortis,male,1973,1978,18.00,71.00,20.20,11.50,9.80,9.20
560,Geospizafortis,unknown,1975,1978,14.00,67.00,19.10,10.20,8.50,8.20
572,Geospizafortis,unknown,1975,1978,18.00,70.00,20.20,12.10,10.30,9.20
618,Geospizafortis,female,1975,1978,17.50,68.00,20.70,11.60,9.90,8.80
623,Geospizafortis,female,1975,1978,15.00,67.00,19.00,10.30,8.80,8.30
673,Geospizafortis,male,1973,1978,18.00,72.00,19.00,11.40,10.10,9.30
685,Geospizafortis,unknown,1975,1978,14.50,67.00,18.00,8.70,8.20,8.00
891,Geospizafortis,unknown,1975,1978,15.00,65.00,18.60,9.90,8.00,7.90
931,Geospizafortis,unknown,1975,1978,14.50,65.00,19.60,10.20,8.90,8.10
943,Geospizafortis,male,1975,1978,15.00,66.00,19.30,10.30,9.10,8.30
1452,Geospizafortis,unknown,1976,1978,16.24,68.19,18.47,11.43,9.80,8.50
1477,Geospizafortis,unknown,1976,1978,17.34,70.19,20.57,11.93,10.10,9.50
1528,Geospizafortis,male,1976,1978,17.09,68.19,19.32,11.03,8.55,8.10
1587,Geospizafortis,male,1976,1978,17.64,72.19,20.57,10.63,9.30,9.00
1592,Geospizafortis,unknown,1976,1978,17.24,71.19,18.87,10.83,10.00,9.60
1599,Geospizafortis,male,1976,1978,18.04,72.19,19.77,11.23,10.70,9.30
1635,Geospizafortis,male,1976,1978,15.84,68.19,20.07,11.23,9.10,8.10
1643,Geospizafortis,unknown,1976,1978,15.24,65.19,20.17,10.23,8.80,8.40
1850,Geospizafortis,female,1976,1978,16.14,66.19,19.07,11.63,10.40,8.90
1861,Geospizafortis,male,1976,1978,20.19,72.69,19.32,12.23,10.70,9.95
1884,Geospizafortis,male,1973,1978,16.24,67.69,17.97,11.03,9.15,8.55
1919,Geospizafortis,male,1976,1978,21.24,72.19,19.47,11.13,11.20,9.40
2206,Geospizafortis,male,1976,1978,17.44,72.19,20.07,10.93,10.50,8.90
2211,Geospizafortis,unknown,1976,1978,16.94,70.19,19.27,11.03,9.70,8.80
2226,Geospizafortis,unknown,1976,1978,14.74,65.19,18.27,10.23,8.90,8.30
2887,Geospizafortis,female,1976,1978,17.34,69.19,19.07,11.33,10.10,9.40
8136,Geospizafortis,unknown,1976,1978,15.54,68.19,18.07,10.03,8.90,8.00
616,Geospizafortis,male,1975,1979,19.00,70.00,20.00,10.70,9.60,8.80
1248,Geospizafortis,male,1976,1979,15.40,66.00,19.50,10.00,8.50,8.30
2210,Geospizafortis,male,1976,1979,16.34,68.01,18.96,12.43,10.08,8.54
2242,Geospizafortis,male,1976,1979,15.41,72.94,18.26,11.09,9.45,8.03
2939,Geospizafortis,unknown,1973,1979,15.37,67.95,19.41,9.63,8.31,7.72
354,Geospizafortis,female,1975,1980,17.50,67.00,20.30,11.60,9.80,9.10
678,Geospizafortis,male,1973,1980,16.50,71.00,18.20,11.30,9.70,8.30
1418,Geospizafortis,male,1976,1980,17.94,71.01,18.76,12.13,10.38,9.24
1426,Geospizafortis,female,1976,1980,21.22,71.45,21.01,12.03,10.61,10.07
1527,Geospizafortis,female,1976,1980,17.04,68.01,18.46,10.63,8.38,8.14
1659,Geospizafortis,male,1976,1980,17.74,71.01,19.16,11.83,10.78,9.34
2244,Geospizafortis,male,1976,1980,18.87,71.95,20.16,12.43,11.01,9.77
2249,Geospizafortis,male,1976,1980,18.44,74.01,20.06,12.73,10.68,9.74
2940,Geospizafortis,female,1976,1980,15.14,70.01,17.86,10.33,8.78,8.14
3642,Geospizafortis,male,1973,1980,17.84,71.01,19.16,11.03,10.28,9.04
8191,Geospizafortis,male,1976,1980,19.63,70.41,20.81,12.53,10.86,9.62
1019,Geospizafortis,male,1976,1981,20.82,70.45,19.86,12.13,11.21,9.87
1372,Geospizafortis,female,1976,1981,16.64,69.01,18.16,10.43,9.48,8.54
1797,Geospizafortis,male,1976,1982,16.67,69.45,19.21,10.53,9.31,8.37
2378,Geospizafortis,male,1976,1981,18.07,70.95,21.06,11.23,9.86,8.67
8190,Geospizafortis,unknown,1976,1981,15.60,69.47,18.36,11.23,9.28,8.24
316,Geospizafortis,male,1973,1982,17.55,67.50,19.55,10.90,9.85,9.20
710,Geospizafortis,male,1975,1982,15.00,69.00,19.00,10.50,10.00,8.70
